uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
140184624,1.0,157.0,,,,,,,,,,,1,ar
140191552,,,,,,,,,,,,,1,ar
140432160,,,,,,,,,,,,,1,ar
140494448,34.0,290.4117647058824,24.0,382.875,,,,,,,,,1,ar
140533488,6.0,134.83333333333334,,,,,,,,,,,1,ar
140636064,,,,,,,,,,,,,1,ar
141344848,875.0,180.60914285714287,568.0,181.04049295774647,405.0,174.8740740740741,92.0,200.41304347826087,61.0,199.0983606557377,21.0,170.71428571428572,0,ar
141542944,,,,,,,,,,,,,1,ar
141683888,111.0,195.9099099099099,,,,,,,,,,,1,ar
141727264,2.0,231.0,,,,,,,,,,,1,ar
141733904,92.0,97.44565217391305,2.0,281.5,2.0,281.5,,,,,,,1,ar
141893648,2.0,234.5,,,,,,,,,,,1,ar
142205680,,,,,,,,,,,,,1,ar
142247536,1839.0,238.6204458945079,1366.0,232.4480234260615,1018.0,225.16011787819252,520.0,237.8576923076923,216.0,268.94444444444446,110.0,279.94545454545454,0,ar
142433264,,,,,,,,,,,,,1,ar
142622896,779.0,106.8806161745828,779.0,106.8806161745828,779.0,106.8806161745828,151.0,45.77483443708609,64.0,26.9375,15.0,77.8,0,ar
142754256,,,,,,,,,,,,,1,ar
142800384,,,,,,,,,,,,,1,ar
142870416,,,,,,,,,,,,,1,ar
142900800,1.0,167.0,,,,,,,,,,,1,ar
143035856,,,,,,,,,,,,,1,ar
143456784,,,,,,,,,,,,,1,ar
143472320,19.0,216.26315789473685,,,,,,,,,,,1,ar
143567536,21.0,18.571428571428573,4.0,58.25,3.0,46.666666666666664,,,,,,,1,ar
143709408,1.0,279.0,1.0,279.0,,,,,,,,,1,ar
143864496,,,,,,,,,,,,,1,ar
143968192,,,,,,,,,,,,,1,ar
144083552,,,,,,,,,,,,,1,ar
144134400,2.0,220.0,,,,,,,,,,,1,ar
144178272,1.0,218.0,1.0,218.0,,,,,,,,,1,ar
144492288,,,,,,,,,,,,,1,ar
144717200,,,,,,,,,,,,,1,ar
144762464,,,,,,,,,,,,,1,ar
144813008,15.0,107.26666666666667,5.0,183.2,4.0,169.25,,,,,,,1,ar
144912832,,,,,,,,,,,,,1,ar
145207552,,,,,,,,,,,,,1,ar
145213664,,,,,,,,,,,,,1,ar
145387152,,,,,,,,,,,,,1,ar
145436112,1.0,177.0,1.0,177.0,1.0,177.0,,,,,,,1,ar
145455840,8.0,79.125,8.0,79.125,8.0,79.125,,,,,,,1,ar
145552736,,,,,,,,,,,,,1,ar
145620480,,,,,,,,,,,,,1,ar
145681040,,,,,,,,,,,,,1,ar
145688704,,,,,,,,,,,,,1,ar
145757392,,,,,,,,,,,,,1,ar
145815504,,,,,,,,,,,,,1,ar
145972992,,,,,,,,,,,,,1,ar
145993136,38.0,217.28947368421052,,,,,,,,,,,1,ar
146021248,3.0,447.6666666666667,3.0,447.6666666666667,,,,,,,,,1,ar
146050240,,,,,,,,,,,,,1,ar
146139200,,,,,,,,,,,,,1,ar
146175264,71.0,61.70422535211268,4.0,270.75,4.0,270.75,4.0,270.75,4.0,270.75,4.0,270.75,0,ar
146187024,21.0,62.80952380952381,,,,,,,,,,,1,ar
146237888,44.0,222.97727272727272,44.0,222.97727272727272,44.0,222.97727272727272,22.0,213.4090909090909,9.0,196.11111111111111,9.0,196.11111111111111,1,ar
146346816,1.0,224.0,,,,,,,,,,,1,ar
146414992,,,,,,,,,,,,,1,ar
146625248,,,,,,,,,,,,,1,ar
146625600,,,,,,,,,,,,,1,ar
146633824,2475.0,99.65777777777778,1634.0,114.03304773561811,1286.0,114.84292379471229,347.0,115.1671469740634,172.0,115.55232558139535,,,1,ar
146662848,,,,,,,,,,,,,1,ar
146682496,139.0,244.10791366906474,139.0,244.10791366906474,94.0,245.2340425531915,22.0,238.54545454545453,,,,,0,ar
146684128,5.0,19.6,,,,,,,,,,,1,ar
146688656,,,,,,,,,,,,,1,ar
146773776,4.0,235.5,3.0,251.33333333333334,,,,,,,,,1,ar
146851008,34.0,27.38235294117647,,,,,,,,,,,1,ar
146926768,100.0,198.24,,,,,,,,,,,1,ar
146930336,26.0,12.0,,,,,,,,,,,1,ar
146976784,,,,,,,,,,,,,1,ar
147097216,,,,,,,,,,,,,1,ar
147284896,1.0,155.0,,,,,,,,,,,1,ar
147365504,1059.0,153.81964117091596,331.0,162.95770392749245,249.0,167.0321285140562,99.0,159.03030303030303,31.0,174.38709677419354,17.0,203.76470588235293,0,ar
147398752,,,,,,,,,,,,,1,ar
147408496,8.0,38.25,,,,,,,,,,,1,ar
147420704,,,,,,,,,,,,,1,ar
147522672,29.0,201.24137931034483,22.0,201.54545454545453,12.0,189.5,12.0,189.5,,,,,0,ar
147527520,8.0,195.125,8.0,195.125,5.0,192.2,,,,,,,0,ar
147703248,159.0,186.72327044025158,99.0,243.05050505050505,,,,,,,,,0,ar
147709232,,,,,,,,,,,,,1,ar
147791200,,,,,,,,,,,,,1,ar
148053888,,,,,,,,,,,,,1,ar
148084656,159.0,111.50314465408805,124.0,117.96774193548387,124.0,117.96774193548387,57.0,120.2280701754386,50.0,124.74,32.0,143.28125,0,ar
148225120,,,,,,,,,,,,,1,ar
148416832,194.0,114.67525773195877,147.0,127.5578231292517,109.0,130.78899082568807,17.0,172.0,5.0,123.0,3.0,130.0,0,ar
148460384,4.0,45.5,4.0,45.5,4.0,45.5,4.0,45.5,2.0,3.5,,,0,ar
148592320,265.0,93.26792452830189,209.0,94.77033492822966,109.0,91.66055045871559,64.0,90.390625,21.0,109.85714285714286,10.0,87.8,0,ar
148628368,,,,,,,,,,,,,1,ar
148662432,,,,,,,,,,,,,1,ar
148663792,20.0,124.75,1.0,74.0,1.0,74.0,,,,,,,1,ar
148689488,,,,,,,,,,,,,1,ar
148732112,,,,,,,,,,,,,1,ar
148767008,19.0,12.105263157894736,,,,,,,,,,,1,ar
148819520,,,,,,,,,,,,,1,ar
149004544,2.0,163.0,2.0,163.0,,,,,,,,,1,ar
149056960,5.0,144.4,5.0,144.4,4.0,128.5,4.0,128.5,4.0,128.5,,,1,ar
149061568,,,,,,,,,,,,,1,ar
149070720,,,,,,,,,,,,,1,ar
149109312,70.0,172.32857142857142,61.0,166.8360655737705,59.0,166.6949152542373,55.0,162.34545454545454,51.0,169.90196078431373,,,0,ar
149253952,7.0,171.0,,,,,,,,,,,1,ar
149273072,,,,,,,,,,,,,1,ar
149418656,,,,,,,,,,,,,1,ar
149436720,,,,,,,,,,,,,1,ar
149458896,,,,,,,,,,,,,1,ar
149985616,,,,,,,,,,,,,1,ar
150014448,,,,,,,,,,,,,1,ar
150038912,1.0,1088.0,,,,,,,,,,,1,ar
150173824,18.0,226.22222222222223,,,,,,,,,,,1,ar
150316736,,,,,,,,,,,,,1,ar
150321664,,,,,,,,,,,,,1,ar
150644864,23.0,59.869565217391305,,,,,,,,,,,1,ar
150646192,,,,,,,,,,,,,1,ar
150694112,,,,,,,,,,,,,1,ar
150733024,,,,,,,,,,,,,1,ar
150749568,,,,,,,,,,,,,1,ar
150805568,,,,,,,,,,,,,1,ar
150881824,35.0,101.4,,,,,,,,,,,1,ar
150987808,,,,,,,,,,,,,1,ar
151027584,3.0,201.33333333333334,,,,,,,,,,,1,ar
151033104,,,,,,,,,,,,,1,ar
151082976,,,,,,,,,,,,,1,ar
151127376,,,,,,,,,,,,,1,ar
151166144,,,,,,,,,,,,,1,ar
151169872,,,,,,,,,,,,,1,ar
151192080,,,,,,,,,,,,,1,ar
151272384,,,,,,,,,,,,,1,ar
151291888,183.0,129.82513661202185,149.0,135.79194630872485,106.0,88.52830188679245,13.0,79.53846153846153,13.0,79.53846153846153,,,1,ar
151334784,,,,,,,,,,,,,1,ar
151389984,,,,,,,,,,,,,1,ar
151402576,,,,,,,,,,,,,1,ar
151444608,,,,,,,,,,,,,0,ar
151458944,,,,,,,,,,,,,1,ar
151461264,2.0,201.0,2.0,201.0,2.0,201.0,,,,,,,1,ar
151478496,,,,,,,,,,,,,1,ar
151486256,172.0,245.47674418604652,57.0,237.4561403508772,33.0,252.33333333333334,,,,,,,0,ar
151493232,,,,,,,,,,,,,1,ar
151508656,,,,,,,,,,,,,1,ar
151512624,,,,,,,,,,,,,1,ar
151567296,487.0,239.55646817248459,,,,,,,,,,,1,ar
151592416,39.0,189.17948717948718,6.0,166.66666666666666,6.0,166.66666666666666,,,,,,,1,ar
151598592,,,,,,,,,,,,,1,ar
151621152,7.0,11.428571428571429,,,,,,,,,,,1,ar
151637920,18.0,249.27777777777777,,,,,,,,,,,1,ar
151715040,,,,,,,,,,,,,1,ar
151754832,,,,,,,,,,,,,1,ar
151755360,,,,,,,,,,,,,1,ar
151765984,37.0,257.2432432432432,4.0,278.75,1.0,244.0,,,,,,,1,ar
151769712,1.0,192.0,1.0,192.0,1.0,192.0,1.0,192.0,,,,,1,ar
151771168,,,,,,,,,,,,,1,ar
151780016,,,,,,,,,,,,,1,ar
151788064,,,,,,,,,,,,,1,ar
151804576,,,,,,,,,,,,,1,ar
151818736,,,,,,,,,,,,,1,ar
151840368,316.0,180.36075949367088,155.0,155.58709677419355,134.0,156.57462686567163,113.0,164.46902654867256,24.0,187.875,,,1,ar
151850832,,,,,,,,,,,,,1,ar
151969584,,,,,,,,,,,,,1,ar
151988960,,,,,,,,,,,,,1,ar
152005488,,,,,,,,,,,,,1,ar
152006336,,,,,,,,,,,,,1,ar
152027904,,,,,,,,,,,,,1,ar
152032928,,,,,,,,,,,,,1,ar
152035648,,,,,,,,,,,,,1,ar
152059840,42.0,127.69047619047619,,,,,,,,,,,1,ar
152176320,,,,,,,,,,,,,1,ar
152247392,,,,,,,,,,,,,1,ar
152248832,5.0,182.0,,,,,,,,,,,1,ar
152252352,,,,,,,,,,,,,1,ar
152349504,,,,,,,,,,,,,1,ar
152418176,,,,,,,,,,,,,1,ar
152448688,,,,,,,,,,,,,1,ar
152457856,,,,,,,,,,,,,1,ar
152511200,,,,,,,,,,,,,1,ar
152514784,,,,,,,,,,,,,1,ar
152542640,,,,,,,,,,,,,1,ar
152543744,,,,,,,,,,,,,1,ar
152620336,3.0,77.33333333333333,3.0,77.33333333333333,,,,,,,,,1,ar
152621824,,,,,,,,,,,,,1,ar
152625024,3.0,139.66666666666666,,,,,,,,,,,1,ar
152631328,,,,,,,,,,,,,1,ar
152645728,,,,,,,,,,,,,1,ar
152674944,,,,,,,,,,,,,1,ar
152675024,,,,,,,,,,,,,1,ar
152678016,61.0,192.68852459016392,,,,,,,,,,,1,ar
152731376,,,,,,,,,,,,,1,ar
152735536,254.0,220.1811023622047,109.0,229.55045871559633,,,,,,,,,1,ar
152803536,8.0,5.5,,,,,,,,,,,1,ar
152824768,,,,,,,,,,,,,1,ar
152849312,,,,,,,,,,,,,1,ar
152850384,,,,,,,,,,,,,1,ar
152861088,,,,,,,,,,,,,1,ar
