uid,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167581088.0,32,25.0,25.0,18.0,18.0,18.0
167581120.0,42,8.0,1.0,,,
167581264.0,1,1.0,1.0,1.0,1.0,1.0
167581920.0,9,3.0,1.0,,,
167582144.0,46,30.0,29.0,29.0,29.0,29.0
167582320.0,9,5.0,4.0,3.0,3.0,2.0
167582336.0,17,17.0,14.0,10.0,10.0,9.0
167582864.0,28,1.0,1.0,1.0,1.0,1.0
167583136.0,8,5.0,4.0,4.0,4.0,2.0
167583216.0,9,3.0,3.0,,,
167583696.0,129,128.0,80.0,70.0,66.0,62.0
167583760.0,56,51.0,37.0,27.0,18.0,18.0
167583984.0,30,26.0,26.0,26.0,24.0,24.0
167584048.0,5,5.0,5.0,5.0,5.0,5.0
167584416.0,75,75.0,75.0,75.0,75.0,75.0
167584544.0,2,1.0,,,,
167585568.0,33,12.0,12.0,7.0,7.0,7.0
167585584.0,8,8.0,8.0,7.0,7.0,7.0
167585760.0,48,13.0,5.0,,,
167585840.0,8,6.0,5.0,1.0,1.0,1.0
167586432.0,4,,,,,
167587920.0,39,33.0,14.0,14.0,13.0,13.0
167588112.0,17,11.0,3.0,2.0,2.0,2.0
167588960.0,1,,,,,
167589024.0,1,,,,,
167589776.0,5,,,,,
167590176.0,31,2.0,2.0,2.0,2.0,2.0
167590384.0,22,19.0,15.0,14.0,11.0,11.0
167590400.0,11,6.0,3.0,1.0,1.0,1.0
167590480.0,10,4.0,2.0,,,
167590576.0,35,11.0,4.0,2.0,2.0,2.0
167593792.0,23,5.0,5.0,5.0,,
167593904.0,26,20.0,13.0,3.0,3.0,3.0
167594496.0,125,115.0,,,,
167595296.0,24,24.0,24.0,,,
167595616.0,9,8.0,6.0,4.0,1.0,1.0
167596944.0,2,,,,,
167598576.0,1,,,,,
167598768.0,1,1.0,1.0,,,
167598784.0,182,180.0,,,,
167600064.0,3,3.0,3.0,3.0,3.0,3.0
167600416.0,17,13.0,3.0,,,
167600816.0,8,2.0,2.0,,,
167601104.0,5,4.0,4.0,4.0,4.0,4.0
167601200.0,1,1.0,1.0,,,
167601696.0,50,50.0,49.0,,,
167601792.0,6,,,,,
167602048.0,2,,,,,
167602176.0,5,1.0,,,,
167602352.0,4,,,,,
167602576.0,8,3.0,3.0,,,
167602688.0,1,1.0,1.0,1.0,,
167602784.0,21,20.0,19.0,18.0,11.0,11.0
167603872.0,95,88.0,87.0,58.0,7.0,3.0
167604352.0,37,33.0,33.0,16.0,16.0,16.0
167604416.0,4,,,,,
167605232.0,50,,,,,
167605600.0,1,1.0,,,,
167605616.0,1,,,,,
167606176.0,97,1.0,,,,
167606288.0,746,99.0,99.0,,,
167606704.0,1,1.0,1.0,1.0,1.0,1.0
167607168.0,4,4.0,1.0,1.0,1.0,
167607248.0,7,,,,,
167608224.0,26,26.0,26.0,26.0,6.0,
167609904.0,30,11.0,,,,
167611440.0,1,1.0,1.0,,,
167612176.0,3,,,,,
167612464.0,15,12.0,1.0,,,
167613552.0,98,97.0,96.0,1.0,,
167614336.0,13,11.0,10.0,2.0,2.0,2.0
167615216.0,287,221.0,2.0,2.0,2.0,2.0
167615376.0,32,25.0,25.0,6.0,5.0,5.0
167616144.0,3,,,,,
167617008.0,8,4.0,3.0,3.0,3.0,3.0
167617376.0,95,81.0,80.0,80.0,80.0,80.0
167617472.0,2,2.0,1.0,1.0,1.0,1.0
167617536.0,21,11.0,1.0,1.0,,
167618112.0,1,1.0,,,,
167619632.0,18,18.0,3.0,,,
167619856.0,285,144.0,144.0,75.0,75.0,75.0
167620048.0,1,,,,,
167620080.0,16,10.0,10.0,6.0,,
167620816.0,7,,,,,
167621328.0,40,19.0,,,,
167621488.0,1,1.0,1.0,,,
167622368.0,379,1.0,,,,
167622400.0,46,40.0,40.0,,,
167622448.0,2,2.0,,,,
167624128.0,203,32.0,12.0,12.0,12.0,12.0
167624816.0,9,7.0,7.0,7.0,7.0,7.0
167625232.0,44,31.0,31.0,30.0,30.0,
167625296.0,1,1.0,1.0,1.0,,
167626400.0,26,8.0,2.0,2.0,2.0,1.0
167626592.0,2,2.0,2.0,1.0,1.0,1.0
167626608.0,12,10.0,4.0,,,
167627312.0,34,32.0,32.0,32.0,32.0,32.0
167627664.0,16,16.0,10.0,,,
167628704.0,10,8.0,7.0,7.0,7.0,7.0
167628928.0,24,1.0,,,,
167629040.0,8,8.0,3.0,1.0,1.0,1.0
167629184.0,1,1.0,1.0,,,
167630368.0,22,15.0,10.0,4.0,4.0,4.0
167630400.0,14,2.0,2.0,2.0,2.0,1.0
167630448.0,3,3.0,3.0,3.0,3.0,3.0
167630928.0,9,5.0,5.0,5.0,5.0,2.0
167631040.0,7,7.0,,,,
167631072.0,34,1.0,1.0,1.0,1.0,1.0
167631088.0,1,,,,,
167631328.0,1,1.0,,,,
167631344.0,15,1.0,1.0,1.0,1.0,1.0
167631712.0,17,16.0,15.0,15.0,15.0,15.0
167632416.0,175,166.0,,,,
167632480.0,26,21.0,16.0,10.0,5.0,4.0
167632544.0,3,3.0,3.0,3.0,2.0,2.0
167633456.0,44,2.0,2.0,,,
167634272.0,2,,,,,
167634288.0,23,1.0,1.0,,,
167635584.0,95,94.0,89.0,69.0,55.0,52.0
167635888.0,1,,,,,
167636576.0,6,5.0,5.0,4.0,4.0,4.0
167636656.0,17,6.0,6.0,6.0,6.0,6.0
167637312.0,1,,,,,
167637872.0,124,104.0,82.0,80.0,80.0,80.0
167638176.0,8,8.0,5.0,5.0,5.0,2.0
167638224.0,29,1.0,,,,
167638288.0,19,13.0,8.0,4.0,1.0,1.0
167638496.0,5,4.0,4.0,4.0,4.0,4.0
167638800.0,13,9.0,9.0,3.0,3.0,3.0
167639312.0,474,138.0,61.0,,,
167639792.0,77,55.0,14.0,3.0,3.0,3.0
167639904.0,223,24.0,20.0,17.0,3.0,3.0
167640080.0,52,52.0,52.0,52.0,52.0,52.0
167640160.0,1,1.0,,,,
167640720.0,1,1.0,1.0,1.0,1.0,1.0
167640736.0,150,148.0,6.0,6.0,6.0,6.0
167640960.0,3,,,,,
167640976.0,47,31.0,20.0,6.0,3.0,2.0
167641264.0,37,,,,,
167641296.0,62,46.0,45.0,33.0,33.0,27.0
167641632.0,6,4.0,4.0,1.0,,
167641856.0,69,40.0,25.0,14.0,11.0,11.0
167642160.0,39,8.0,8.0,8.0,4.0,3.0
167642272.0,112,71.0,69.0,69.0,69.0,69.0
167642352.0,10,4.0,4.0,2.0,1.0,1.0
167642864.0,27,22.0,22.0,2.0,2.0,2.0
167643024.0,4,1.0,,,,
167643328.0,107,65.0,32.0,27.0,25.0,16.0
167643488.0,194,164.0,164.0,164.0,164.0,164.0
167643776.0,5,5.0,5.0,5.0,2.0,2.0
167643808.0,10,1.0,1.0,1.0,1.0,1.0
167643888.0,11,4.0,3.0,3.0,,
167644080.0,188,127.0,36.0,36.0,35.0,35.0
167644128.0,54,45.0,,,,
167644720.0,84,3.0,,,,
167644880.0,9,9.0,,,,
167645008.0,36,35.0,34.0,1.0,,
167645200.0,121,121.0,115.0,114.0,113.0,113.0
167645360.0,94,66.0,35.0,18.0,15.0,13.0
167645552.0,40,30.0,28.0,28.0,28.0,28.0
167645840.0,14,9.0,6.0,3.0,3.0,
167645920.0,5,5.0,5.0,5.0,5.0,
167647744.0,36,31.0,14.0,5.0,1.0,1.0
167648400.0,21,4.0,4.0,3.0,1.0,1.0
167648912.0,9,7.0,6.0,6.0,4.0,4.0
167649200.0,135,135.0,135.0,26.0,26.0,23.0
167649360.0,121,,,,,
167649568.0,6,1.0,,,,
167649984.0,10,10.0,2.0,1.0,1.0,1.0
167650112.0,2,2.0,2.0,2.0,2.0,1.0
167650496.0,1,,,,,
167651136.0,44,41.0,20.0,14.0,14.0,4.0
167651632.0,96,1.0,1.0,1.0,,
167652496.0,37,15.0,15.0,13.0,13.0,13.0
167652736.0,4,3.0,2.0,,,
167652944.0,22,14.0,3.0,3.0,3.0,3.0
167653312.0,31,9.0,3.0,3.0,1.0,1.0
167654352.0,33,13.0,11.0,,,
167654576.0,9,1.0,1.0,1.0,1.0,1.0
167654656.0,10,10.0,10.0,,,
167654784.0,1,,,,,
167655040.0,4,3.0,3.0,2.0,1.0,1.0
167655312.0,100,83.0,12.0,10.0,10.0,10.0
167656192.0,76,3.0,1.0,,,
167656416.0,6,6.0,6.0,6.0,2.0,2.0
167656528.0,1,,,,,
167656768.0,146,81.0,6.0,2.0,2.0,2.0
167657296.0,4,4.0,3.0,2.0,2.0,2.0
167657344.0,11,,,,,
167657936.0,65,13.0,5.0,5.0,2.0,
167658400.0,3,,,,,
