uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167652736.0,3,2.0,,,
167652944.0,14,3.0,3.0,3.0,3.0
167653312.0,9,3.0,3.0,1.0,1.0
167654352.0,13,11.0,,,
167654576.0,1,1.0,1.0,1.0,1.0
167654656.0,10,10.0,,,
167655040.0,3,3.0,2.0,1.0,1.0
167655312.0,83,12.0,10.0,10.0,10.0
167656192.0,3,1.0,,,
167656416.0,6,6.0,6.0,2.0,2.0
167656768.0,81,6.0,2.0,2.0,2.0
167657296.0,4,3.0,2.0,2.0,2.0
167657936.0,13,5.0,5.0,2.0,
167658576.0,7,4.0,4.0,2.0,2.0
167658912.0,2,,,,
167659104.0,16,16.0,4.0,4.0,4.0
167659456.0,1,,,,
167659632.0,1,1.0,1.0,1.0,1.0
167659792.0,35,17.0,12.0,7.0,7.0
167660240.0,1,1.0,,,
167660752.0,35,34.0,26.0,19.0,19.0
167660832.0,19,6.0,5.0,3.0,3.0
167660976.0,201,201.0,201.0,201.0,201.0
167661264.0,29,22.0,,,
167661440.0,45,41.0,41.0,41.0,40.0
167661664.0,1,1.0,1.0,1.0,1.0
167661856.0,3,3.0,3.0,3.0,3.0
167662048.0,9,8.0,7.0,7.0,2.0
167662320.0,12,3.0,3.0,2.0,2.0
167662336.0,33,23.0,14.0,12.0,10.0
167662896.0,2,2.0,1.0,,
167663104.0,166,,,,
167664224.0,1,,,,
167664688.0,3,3.0,1.0,1.0,1.0
167664752.0,284,73.0,72.0,70.0,70.0
167664848.0,37,20.0,18.0,15.0,15.0
167665040.0,6,6.0,6.0,6.0,6.0
167666032.0,3,2.0,2.0,2.0,1.0
167666752.0,116,108.0,34.0,21.0,13.0
167667024.0,10,1.0,,,
167667104.0,1,1.0,1.0,,
167668192.0,6,5.0,5.0,4.0,
167668256.0,49,2.0,1.0,1.0,1.0
167668576.0,29,,,,
167669408.0,29,6.0,,,
167670432.0,1,,,,
167670768.0,84,,,,
167671104.0,62,13.0,,,
167671248.0,83,49.0,31.0,20.0,20.0
167671584.0,2,2.0,2.0,2.0,2.0
167672128.0,21,18.0,17.0,17.0,6.0
167672736.0,30,22.0,17.0,15.0,13.0
167672848.0,28,27.0,23.0,1.0,1.0
167674208.0,9,9.0,3.0,3.0,3.0
