uid,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
167544512.0,128,104.0,101.0,96.0,90.0,88.0
167544528.0,6,2.0,,,,
167552160.0,4,,,,,
167559248.0,21,,,,,
167560208.0,1,,,,,
167570304.0,33,25.0,21.0,16.0,16.0,16.0
167570320.0,27,22.0,12.0,,,
167570496.0,16,14.0,5.0,1.0,,
167571248.0,40,17.0,,,,
167571280.0,156,139.0,101.0,90.0,44.0,44.0
167571680.0,5,4.0,3.0,1.0,1.0,1.0
167572288.0,2,,,,,
167572336.0,7,1.0,,,,
167572512.0,2,,,,,
167572624.0,21,21.0,7.0,7.0,7.0,7.0
167573424.0,37,19.0,9.0,4.0,4.0,4.0
167574208.0,101,78.0,42.0,34.0,18.0,13.0
167574240.0,37,,,,,
167574816.0,69,64.0,64.0,41.0,33.0,27.0
167574880.0,3,,,,,
167574912.0,37,8.0,8.0,,,
167575280.0,101,63.0,53.0,26.0,11.0,10.0
167575408.0,53,49.0,43.0,18.0,3.0,3.0
167575776.0,41,21.0,17.0,8.0,3.0,3.0
167575824.0,66,24.0,12.0,8.0,8.0,8.0
167575904.0,27,16.0,15.0,7.0,2.0,2.0
167576176.0,18,17.0,14.0,14.0,13.0,11.0
167576192.0,38,12.0,1.0,1.0,1.0,1.0
167576240.0,47,31.0,28.0,21.0,16.0,16.0
167577248.0,33,,,,,
167577328.0,60,16.0,14.0,8.0,2.0,2.0
167577648.0,17,17.0,16.0,10.0,8.0,8.0
167578384.0,15,2.0,2.0,2.0,,
167579040.0,32,20.0,16.0,15.0,12.0,12.0
167579776.0,76,24.0,14.0,14.0,8.0,4.0
167579824.0,18,12.0,7.0,7.0,7.0,7.0
167579888.0,8,6.0,6.0,6.0,6.0,6.0
167579920.0,197,172.0,148.0,142.0,125.0,123.0
167580032.0,51,47.0,24.0,14.0,14.0,14.0
167580080.0,1,1.0,1.0,1.0,1.0,1.0
167580128.0,75,63.0,60.0,30.0,9.0,9.0
167580272.0,70,,,,,
167580560.0,70,65.0,55.0,40.0,40.0,40.0
167580928.0,7,,,,,
167580944.0,402,347.0,271.0,230.0,195.0,195.0
167581088.0,71,65.0,59.0,36.0,36.0,33.0
167581120.0,21,2.0,1.0,,,
167581264.0,13,8.0,8.0,8.0,7.0,7.0
167581632.0,3,3.0,3.0,1.0,,
167581920.0,30,29.0,20.0,18.0,16.0,15.0
167582144.0,63,63.0,62.0,59.0,59.0,59.0
167582320.0,48,42.0,31.0,27.0,20.0,20.0
167582336.0,57,47.0,44.0,33.0,29.0,29.0
167582864.0,17,10.0,10.0,8.0,5.0,5.0
167583136.0,92,67.0,64.0,52.0,45.0,17.0
167583216.0,7,1.0,1.0,,,
167583696.0,214,182.0,159.0,124.0,113.0,107.0
167583760.0,260,189.0,102.0,33.0,32.0,32.0
167583984.0,102,91.0,89.0,86.0,84.0,84.0
167584048.0,26,23.0,18.0,18.0,17.0,17.0
167584416.0,14,14.0,9.0,3.0,2.0,2.0
167584544.0,10,5.0,3.0,2.0,,
167584672.0,26,11.0,8.0,,,
167585136.0,2,,,,,
167585312.0,6,4.0,2.0,2.0,,
167585344.0,5,,,,,
167585568.0,142,104.0,98.0,61.0,21.0,21.0
167585584.0,16,16.0,16.0,14.0,12.0,12.0
167585616.0,3,2.0,2.0,1.0,1.0,1.0
167585760.0,198,144.0,93.0,46.0,46.0,45.0
167585840.0,31,22.0,11.0,7.0,6.0,6.0
167586432.0,9,,,,,
167587920.0,170,119.0,95.0,67.0,58.0,55.0
167588112.0,44,27.0,9.0,9.0,9.0,9.0
167588960.0,20,2.0,,,,
167589024.0,17,1.0,,,,
167589040.0,1,,,,,
167589776.0,127,55.0,55.0,46.0,39.0,39.0
167590176.0,8,8.0,8.0,8.0,8.0,8.0
167590384.0,68,45.0,39.0,31.0,27.0,24.0
167590400.0,17,12.0,3.0,1.0,1.0,1.0
167590576.0,88,43.0,22.0,12.0,12.0,12.0
167591152.0,1,1.0,1.0,,,
167591968.0,1,1.0,1.0,1.0,1.0,1.0
167592608.0,2,2.0,,,,
167593328.0,7,5.0,5.0,3.0,3.0,
167593792.0,38,27.0,25.0,23.0,10.0,10.0
167593904.0,61,42.0,18.0,15.0,15.0,15.0
167594032.0,1,1.0,1.0,1.0,1.0,1.0
167594128.0,3,,,,,
167594496.0,53,13.0,7.0,7.0,7.0,7.0
167594928.0,2,,,,,
167594960.0,1,1.0,,,,
167595296.0,63,63.0,63.0,2.0,2.0,2.0
167595616.0,14,14.0,14.0,14.0,14.0,14.0
167596944.0,10,,,,,
167597408.0,8,,,,,
167598576.0,6,1.0,,,,
167598768.0,14,14.0,12.0,6.0,6.0,6.0
167598784.0,11,7.0,1.0,1.0,1.0,1.0
167599856.0,1,,,,,
167600064.0,14,12.0,11.0,11.0,11.0,11.0
167600384.0,34,26.0,22.0,19.0,10.0,10.0
167600416.0,34,24.0,8.0,,,
167600816.0,31,15.0,10.0,8.0,8.0,8.0
167601104.0,20,15.0,15.0,14.0,10.0,10.0
167601200.0,69,67.0,67.0,66.0,61.0,51.0
167601696.0,134,39.0,36.0,24.0,14.0,9.0
167601792.0,23,3.0,3.0,2.0,,
167601920.0,11,11.0,11.0,7.0,,
167602048.0,27,15.0,14.0,11.0,10.0,10.0
167602176.0,1,,,,,
167602352.0,8,,,,,
167602576.0,10,3.0,2.0,,,
167602688.0,2,2.0,2.0,2.0,,
167602784.0,21,20.0,16.0,15.0,13.0,12.0
167603872.0,45,37.0,32.0,15.0,11.0,7.0
167604352.0,7,7.0,6.0,6.0,6.0,6.0
167604416.0,8,2.0,2.0,,,
167605232.0,14,9.0,6.0,6.0,6.0,6.0
167605600.0,9,9.0,5.0,5.0,5.0,5.0
167605616.0,58,43.0,28.0,28.0,28.0,15.0
167605664.0,10,8.0,6.0,6.0,4.0,3.0
167606176.0,43,4.0,,,,
167606288.0,28,15.0,15.0,8.0,8.0,8.0
167607168.0,93,85.0,74.0,56.0,15.0,11.0
167608224.0,15,15.0,15.0,15.0,1.0,1.0
167609904.0,3,3.0,1.0,,,
167610032.0,2,2.0,,,,
167610064.0,1,1.0,1.0,1.0,1.0,1.0
167611312.0,1,1.0,1.0,1.0,,
167612176.0,13,13.0,7.0,,,
167612464.0,7,4.0,2.0,,,
167612624.0,6,1.0,,,,
167613232.0,10,7.0,3.0,3.0,3.0,
167613552.0,20,20.0,15.0,7.0,4.0,4.0
167614336.0,56,53.0,51.0,5.0,4.0,4.0
167614576.0,1,,,,,
167615216.0,21,8.0,6.0,6.0,6.0,6.0
167615376.0,63,46.0,46.0,9.0,7.0,7.0
167616144.0,12,,,,,
167616304.0,8,,,,,
167617008.0,14,6.0,5.0,5.0,5.0,5.0
167617376.0,25,5.0,1.0,1.0,1.0,1.0
167617472.0,26,22.0,22.0,15.0,9.0,8.0
167617536.0,6,3.0,3.0,2.0,,
167617568.0,2,,,,,
167618064.0,6,6.0,6.0,6.0,6.0,6.0
167618112.0,11,4.0,1.0,,,
167618944.0,4,,,,,
167619632.0,16,12.0,8.0,,,
167619856.0,1,1.0,,,,
167620048.0,88,24.0,22.0,15.0,8.0,3.0
167620080.0,13,3.0,3.0,2.0,,
167620816.0,11,,,,,
167621328.0,4,1.0,,,,
167621488.0,1,1.0,,,,
167621616.0,34,28.0,18.0,15.0,8.0,8.0
167622160.0,3,,,,,
167622368.0,91,4.0,1.0,,,
167622448.0,10,8.0,2.0,2.0,2.0,2.0
167623376.0,24,22.0,22.0,22.0,22.0,22.0
167624128.0,60,43.0,35.0,27.0,21.0,21.0
167624816.0,9,9.0,9.0,9.0,9.0,9.0
167624848.0,19,16.0,16.0,13.0,,
167624992.0,1,,,,,
167625232.0,62,34.0,18.0,11.0,1.0,1.0
167625296.0,1,1.0,1.0,1.0,,
167625392.0,8,4.0,4.0,2.0,2.0,2.0
167625728.0,5,,,,,
167626400.0,1,,,,,
167626592.0,11,3.0,3.0,2.0,,
167626608.0,50,43.0,22.0,,,
167627312.0,43,35.0,30.0,24.0,15.0,15.0
167627664.0,12,11.0,5.0,3.0,,
167628704.0,54,43.0,28.0,27.0,27.0,25.0
167628928.0,215,164.0,108.0,103.0,86.0,86.0
167629040.0,75,68.0,5.0,4.0,4.0,
167629184.0,6,1.0,1.0,,,
167629328.0,1,,,,,
167630016.0,52,28.0,18.0,,,
167630368.0,31,17.0,15.0,11.0,9.0,9.0
167630400.0,25,5.0,1.0,1.0,1.0,
