uid,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days
167649680.0,1,,,,
167649984.0,127,36.0,34.0,34.0,34.0
167650112.0,31,29.0,22.0,18.0,14.0
167650496.0,6,6.0,6.0,6.0,3.0
167651056.0,10,8.0,8.0,8.0,8.0
167651136.0,77,69.0,48.0,39.0,39.0
167651360.0,14,1.0,,,
167651632.0,17,10.0,7.0,5.0,4.0
167652496.0,31,28.0,15.0,13.0,12.0
167652528.0,7,7.0,,,
167652736.0,61,18.0,12.0,9.0,9.0
167653312.0,29,14.0,14.0,11.0,10.0
167654336.0,3,3.0,,,
167654352.0,38,32.0,19.0,12.0,12.0
167654576.0,6,6.0,6.0,6.0,6.0
167654656.0,18,18.0,1.0,1.0,
167654784.0,3,3.0,3.0,3.0,
167655040.0,104,64.0,57.0,30.0,30.0
167655312.0,48,23.0,16.0,15.0,15.0
167656128.0,13,13.0,4.0,4.0,4.0
167656192.0,11,7.0,,,
167656416.0,38,34.0,33.0,14.0,14.0
167656528.0,1,1.0,1.0,,
167656576.0,2,2.0,2.0,1.0,1.0
167656768.0,102,92.0,66.0,27.0,25.0
167657056.0,23,23.0,19.0,14.0,14.0
167657296.0,24,22.0,12.0,9.0,9.0
167657344.0,11,3.0,1.0,,
167657936.0,144,79.0,61.0,34.0,32.0
167658224.0,6,3.0,,,
167658400.0,15,15.0,14.0,14.0,14.0
167658576.0,10,6.0,6.0,3.0,2.0
167658912.0,20,16.0,12.0,4.0,4.0
167659456.0,10,7.0,6.0,6.0,6.0
167659632.0,23,22.0,10.0,10.0,10.0
167659792.0,94,70.0,38.0,19.0,19.0
167660240.0,24,24.0,23.0,21.0,21.0
167660752.0,75,35.0,25.0,8.0,8.0
167660832.0,76,41.0,30.0,13.0,13.0
167660976.0,18,13.0,3.0,2.0,2.0
167661264.0,8,6.0,5.0,5.0,5.0
167661440.0,128,112.0,102.0,100.0,99.0
167661616.0,23,20.0,2.0,2.0,2.0
167661664.0,81,72.0,21.0,14.0,13.0
167661728.0,20,20.0,5.0,5.0,3.0
167661776.0,14,11.0,6.0,6.0,6.0
167661856.0,1,1.0,1.0,1.0,1.0
167662048.0,39,19.0,16.0,16.0,14.0
167662320.0,112,75.0,62.0,35.0,34.0
167662336.0,94,69.0,41.0,28.0,25.0
167662896.0,54,45.0,29.0,22.0,22.0
167663104.0,26,15.0,8.0,7.0,7.0
167663888.0,18,7.0,4.0,4.0,4.0
167664224.0,50,41.0,38.0,20.0,20.0
167664688.0,15,15.0,11.0,11.0,11.0
167664752.0,37,25.0,21.0,17.0,17.0
167664848.0,53,23.0,13.0,8.0,8.0
167665040.0,29,14.0,11.0,9.0,9.0
167666032.0,21,15.0,11.0,7.0,7.0
167666752.0,283,254.0,98.0,40.0,35.0
167666928.0,4,,,,
167667024.0,58,45.0,34.0,24.0,24.0
167667104.0,37,37.0,37.0,33.0,14.0
167668192.0,11,8.0,8.0,7.0,2.0
167668256.0,67,29.0,15.0,12.0,12.0
167668576.0,51,9.0,3.0,3.0,3.0
167669408.0,4,3.0,1.0,1.0,1.0
167669920.0,32,32.0,28.0,28.0,25.0
167670432.0,8,7.0,,,
167670768.0,34,33.0,25.0,15.0,15.0
167670912.0,5,5.0,5.0,5.0,5.0
167671104.0,155,41.0,,,
167671200.0,3,3.0,,,
167671248.0,186,148.0,116.0,83.0,83.0
167671584.0,17,14.0,13.0,13.0,13.0
167671760.0,9,9.0,7.0,7.0,7.0
167672128.0,26,22.0,19.0,19.0,12.0
167672736.0,66,53.0,25.0,16.0,13.0
167672848.0,85,81.0,25.0,17.0,13.0
167674208.0,45,33.0,22.0,20.0,20.0
167674704.0,30,30.0,9.0,9.0,9.0
167675152.0,30,17.0,13.0,1.0,
167675488.0,22,8.0,5.0,5.0,5.0
167675696.0,24,24.0,24.0,23.0,23.0
