uid,freq_play_last_30_days,avg_playtime_last_30_days,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,freq_search_last_30_days,freq_search_last_21_days,freq_search_last_14_days,freq_search_last_7_days,freq_search_last_3_days,freq_search_last_1_days,freq_download_last_30_days,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days,last_search,last_download,Churn,last_play,device_ar,device_both,device_ip,precent
168517248,861.0,178.28919860627178,602.0,156.2956810631229,349.0,105.64756446991406,61.0,196.57377049180332,11.0,233.54545454545453,0.0,0.0,66.0,44.0,39.0,11.0,10.0,10.0,84.0,30.0,29.0,14.0,13.0,12.0,7.0,2.0,0,2,0,1,0,0.6972710012082451
168517376,605.0,161.16363636363639,381.0,120.9527559055118,323.0,113.4582043343653,10.0,283.6,7.0,274.0,5.0,274.8,61.0,52.0,47.0,15.0,15.0,15.0,57.0,24.0,17.0,2.0,2.0,2.0,8.0,10.0,0,1,0,1,0,0.534458848356949
168517392,478.0,172.24476987447702,426.0,174.3661971830986,308.0,174.77922077922082,235.0,176.45531914893618,74.0,168.16216216216216,9.0,269.1111111111111,50.0,32.0,32.0,32.0,16.0,16.0,73.0,70.0,38.0,38.0,12.0,12.0,6.0,6.0,0,1,1,0,0,0.6603915843847505
168517488,3345.0,188.8466029799701,2233.0,203.99731303179576,1474.0,208.5719131614654,475.0,189.64421052631582,158.0,188.7594936708861,34.0,142.61764705882354,121.0,82.0,58.0,19.0,17.0,14.0,794.0,315.0,275.0,247.0,245.0,240.0,1.0,1.0,0,1,0,1,0,0.7181093709363464
168517536,943.0,142.70307529162247,636.0,136.5314465408805,456.0,132.390350877193,156.0,103.55128205128206,99.0,95.85858585858584,2.0,212.0,102.0,23.0,8.0,5.0,5.0,3.0,35.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,0,1,1,0,0,0.5339976111395498
168518208,1165.0,210.94077253218884,936.0,210.20299145299145,887.0,207.61443066516347,258.0,185.1395348837209,162.0,168.4259259259259,28.0,232.7142857142857,174.0,74.0,65.0,26.0,19.0,19.0,46.0,8.0,8.0,2.0,2.0,2.0,1.0,10.0,0,1,0,1,0,0.7710404116465863
168518384,1190.0,219.2902749283697,694.0,237.6481402849568,519.0,214.60271552554917,343.0,215.7356763294461,123.0,204.2520325203252,58.0,213.4482758620689,80.0,37.0,31.0,22.0,12.0,10.0,35.0,13.0,10.0,9.0,5.0,4.0,2.0,2.0,0,1,0,1,0,0.8554023709814281
168518592,1282.0,175.92589703588143,834.0,196.68345323741008,788.0,196.30583756345177,511.0,188.27592954990212,330.0,159.16666666666666,160.0,151.8125,73.0,14.0,13.0,7.0,6.0,5.0,25.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0,1,0,1,0,0.8316046414731183
168518640,594.0,146.83501683501683,278.0,145.8273381294964,192.0,156.17708333333334,139.0,161.38129496402877,66.0,169.34848484848484,1.0,201.0,97.0,28.0,26.0,17.0,7.0,6.0,174.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,0,1,0,1,0,0.6434383599035064
168518720,1095.0,149.82739726027398,480.0,179.975,332.0,188.0692771084337,192.0,204.5625,115.0,218.81739130434784,78.0,254.7692307692308,49.0,20.0,15.0,10.0,10.0,10.0,55.0,17.0,12.0,9.0,9.0,5.0,1.0,2.0,0,1,1,0,0,0.6788159892753851
