uid,freq_play_last_21_days,avg_playtime_last_21_days,freq_play_last_14_days,avg_playtime_last_14_days,freq_play_last_7_days,avg_playtime_last_7_days,freq_play_last_3_days,avg_playtime_last_3_days,freq_play_last_1_days,avg_playtime_last_1_days,Churn,device
168875904.0,251,135.85258964143426,224.0,128.55357142857142,90.0,177.6888888888889,51.0,149.41176470588235,19.0,226.89473684210526,0.0,both
168877040.0,3661,68.05736137667304,3422.0,56.19403857393337,2120.0,41.568396226415096,1061.0,36.268614514608856,309.0,38.799352750809064,0.0,both
168877280.0,304,119.98684210526316,198.0,104.77777777777777,30.0,147.73333333333332,7.0,159.14285714285714,3.0,170.66666666666666,0.0,ar
168877520.0,409,178.0244498777506,321.0,192.23052959501558,167.0,186.44910179640718,52.0,137.3846153846154,48.0,142.02083333333334,0.0,both
168878272.0,440,280.32045454545454,330.0,287.8727272727273,175.0,265.44,76.0,203.44736842105263,19.0,203.52631578947367,0.0,ar
168879056.0,291,108.58419243986255,109.0,130.21100917431193,28.0,167.21428571428572,12.0,163.0,12.0,163.0,0.0,both
168879264.0,137,49.08029197080292,55.0,58.32727272727273,49.0,42.285714285714285,6.0,78.5,5.0,46.8,0.0,ar
168879584.0,1244,187.717845659164,871.0,195.39494833524685,422.0,198.61611374407582,172.0,195.34883720930233,99.0,237.82828282828282,0.0,ar
168880400.0,902,191.3957871396896,482.0,178.59336099585062,371.0,159.3800539083558,60.0,106.93333333333334,,,0.0,both
168880640.0,955,53.15287958115183,700.0,54.95857142857143,655.0,51.16946564885496,364.0,46.502747252747255,29.0,161.17241379310346,0.0,both
168880736.0,207,119.23670647826087,123.0,84.77234342276424,38.0,98.84210526315789,6.0,96.66666666666667,6.0,96.66666666666667,0.0,both
168881184.0,29,36.96551724137931,26.0,33.34615384615385,,,,,,,0.0,ar
168881376.0,667,138.57271364317842,376.0,154.96808510638297,203.0,207.69458128078819,65.0,131.15384615384616,40.0,54.1,0.0,ar
168881568.0,503,202.168986083499,292.0,116.43493150684931,207.0,124.53623188405797,26.0,202.26923076923077,2.0,1041.0,0.0,ar
168882144.0,559,134.96422182468694,330.0,94.81515151515151,220.0,76.26818181818182,166.0,52.92168674698795,145.0,30.124137931034483,0.0,ar
168882480.0,11,196.8181818181818,11.0,196.8181818181818,11.0,196.8181818181818,,,,,1.0,ar
168882896.0,162,163.23456790123456,58.0,111.63793103448276,24.0,73.16666666666667,6.0,91.33333333333333,,,0.0,ar
168883200.0,207,156.15942028985506,7.0,88.71428571428571,,,,,,,1.0,both
168883456.0,431,102.47563805104409,354.0,85.58474576271186,165.0,102.6,106.0,122.79245283018868,55.0,160.92727272727274,0.0,both
168883792.0,982,189.24236252545825,581.0,203.50602409638554,226.0,224.17256637168143,84.0,226.0595238095238,9.0,196.77777777777777,0.0,ar
